name,link,country,fact_reporting,media_type,traffic,press_freedom,cred_rank,bias
Amarillo Globe-News,https://www.amarillo.com,USA,HIGH,Newspaper,Minimal Traffic,MOSTLY FREE,N/A,center
American Heritage,https://www.americanheritage.com,USA,HIGH,Website,Minimal Traffic,MOSTLY FREE,N/A,center
American Press Institute (API),https://www.americanpressinstitute.org,USA,VERY HIGH,Organization/Foundation,Minimal Traffic,MOSTLY FREE,N/A,center
AmoMama,https://news.amomama.com/,Cyprus,MOSTLY FACTUAL,N/A,N/A,N/A,N/A,center
Anchorage Daily News,http://www.adn.com/,USA (44/180 Press Freedom),HIGH,Newspaper,Medium Traffic,N/A,N/A,center
Anderson Independent Mail,https://www.independentmail.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
Arc Digital,https://arcdigital.media/,USA,HIGH,N/A,N/A,N/A,N/A,center
Arirang,https://arcdigital.media/,South Korea,HIGH,TV Station,High Traffic,MOSTLY FREE,N/A,center
Arizona Capitol Times,https://azcapitoltimes.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
Army Times,https://www.armytimes.com,USA,HIGH,N/A,N/A,N/A,N/A,center
Ars Technica,https://arstechnica.com,USA (44/180 Press Freedom),HIGH,Website,High Traffic,N/A,N/A,center
Asheboro Courier-Tribune,https://www.courier-tribune.com/,USA (44/180 Press Freedom),HIGH,Website,Minimal Traffic,N/A,N/A,center
Asia Times,https://www.asiatimes.com,Hong Kong (80/180 Press Freedom),HIGH,Newspaper,High Traffic,N/A,N/A,center
Associated Press,https://apnews.com/,USA (44/180 Press Freedom),VERY HIGH,News Agency,High Traffic,N/A,N/A,center
Atlas Obscura,https://www.atlasobscura.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
Australian Associated Press (AAP),https://www.aap.com.au/,Australia,HIGH,News Agency,Medium Traffic,N/A,N/A,center
azfamily.com,https://www.azfamily.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
Ballotpedia,https://ballotpedia.org/Main_Page,USA (45/180 Press Freedom),VERY-HIGH,Organization/Foundation,High Traffic,N/A,N/A,center
Beatrice Daily Sun,https://beatricedailysun.com/,USA,HIGH,Newspaper,Minimal Traffic,MOSTLY FREE,N/A,center
Belleville News-Democrat,https://www.bnd.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
Benzinga,https://www.benzinga.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
BestLife,https://www.benzinga.com/,USA,MOSTLY FACTUAL,Website,High Traffic,MOSTLY FREE,N/A,center
Better Government Association,https://www.bettergov.org/,USA,HIGH,N/A,N/A,N/A,N/A,center
Big News Network,https://www.bignewsnetwork.com,United Arab Emirates,MOSTLY FACTUAL,N/A,N/A,N/A,N/A,center
Big Think,https://bigthink.com/,USA (44/180 Press Freedom),HIGH,Website,Medium Traffic,N/A,N/A,center
Biloxi Sun Herald,http://sunherald.com,USA,HIGH,N/A,N/A,N/A,N/A,center
Bismarck Tribune,https://bismarcktribune.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
Blasting News,https://us.blastingnews.com,United Kingdom,HIGH,N/A,N/A,N/A,N/A,center
Bleeping Computer,https://www.bleepingcomputer.com,USA,HIGH,N/A,N/A,N/A,N/A,center
BNO News,http://bnonews.com/,Netherlands (6/180 Press Freedom),HIGH,News Agency,Medium Traffic,N/A,N/A,center
BorderReport,https://www.borderreport.com/,USA,HIGH,Website,Medium Traffic,MOSTLY FREE,N/A,center
Bozeman Daily Chronicle,https://www.bozemandailychronicle.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
Bridge Michigan,https://www.bridgemi.com/,USA (45/180 Press Freedom),HIGH,Organization/Foundation,Medium Traffic,N/A,N/A,center
Bring Me The News,https://bringmethenews.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
Bullshido,https://www.bullshido.net/,USA,HIGH,N/A,N/A,N/A,N/A,center
Burnett County Sentinel,http://www.burnettcountysentinel.com,USA,MOSTLY FACTUAL,N/A,N/A,N/A,N/A,center
Business 2 Community,http://www.business2community.com/,USA (44/180 Press Freedom),MOSTLY FACTUAL,Website,Minimal Traffic,N/A,N/A,center
C-SPAN,https://www.c-span.org/,USA (45/180 Press Freedom),VERY HIGH,TV Station,High Traffic,N/A,N/A,center
Cable Public Affairs Channel (CPAC),https://www.cpac.ca/en/,Canada (14/180 Press Freedom),HIGH,TV Station,Minimal Traffic,N/A,N/A,center
Cape Cod Times,http://www.capecodtimes.com,USA,HIGH,N/A,N/A,N/A,N/A,center
Capitol Fax,https://capitolfax.com,USA,HIGH,N/A,N/A,N/A,N/A,center
Casper Star-Tribune,https://trib.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
Castanet,https://www.castanet.net/,Canada,HIGH,N/A,N/A,N/A,N/A,center
CBS Philly (KYW-TV),https://philadelphia.cbslocal.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
Center for Democracy and Technology,https://cdt.org,USA (44/180 Press Freedom),HIGH,Organization/Foundation,Minimal Traffic,N/A,N/A,center
Center for Responsive Politics (Open Secrets),http://www.opensecrets.org/,USA (44/180 Press Freedom),VERY HIGH,Organization/Foundation,Medium Traffic,N/A,N/A,center
Center for Strategic and International Studies,https://www.csis.org/,USA (44/180 Press Freedom),VERY HIGH,Organization/Foundation,Medium Traffic,N/A,N/A,center
Channel News Asia (CNA),https://www.channelnewsasia.com/,Singapore (160/180 Press Freedom),HIGH,TV Station,High Traffic,N/A,N/A,center
Charity Navigator,https://www.charitynavigator.org/,USA,HIGH,N/A,N/A,N/A,N/A,center
Times Free Press,https://www.timesfreepress.com,USA,HIGH,N/A,N/A,N/A,N/A,center
Chinook Observer,http://www.chinookobserver.com,USA,HIGH,N/A,N/A,N/A,N/A,center
Christian Science Monitor,http://www.csmonitor.com/,USA (45/180 Press Freedom),HIGH,Magazine,Medium Traffic,N/A,N/A,center
Cincinnati Enquirer,http://www.cincinnati.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
Clarinda Herald-Journal,https://clarindaherald.com/,USA,HIGH,Newspaper,Medium Traffic,MOSTLY FREE,N/A,center
CNET,https://www.cnet.com/,USA (45/180 Press Freedom),HIGH,Website,High Traffic,N/A,N/A,center
Committee for Economic Development,https://www.ced.org/,USA,HIGH,N/A,N/A,N/A,N/A,center
Committee to Protect Journalists,https://www.cpj.org/,USA,VERY HIGH,N/A,N/A,N/A,N/A,center
Community Impact,https://communityimpact.com/,USA,HIGH,Website,Medium Traffic,MOSTLY FREE,N/A,center
Concord Independent Tribune,https://independenttribune.com/,USA,HIGH,Newspaper,Minimal Traffic,MOSTLY FREE,N/A,center
Concord Monitor,http://www.concordmonitor.com,USA,HIGH,N/A,N/A,N/A,N/A,center
Congress.gov,https://www.congress.gov/,USA,VERY HIGH,N/A,N/A,N/A,N/A,center
Congressional Budget Office (CBO),https://www.cbo.gov/,USA (44/180 Press Freedom),VERY-HIGH,Organization/Foundation (Government),Medium Traffic,N/A,N/A,center
Constitution Daily,https://constitutioncenter.org,USA,HIGH,N/A,N/A,N/A,N/A,center
Consumer Reports,https://www.consumerreports.org,USA,HIGH,N/A,N/A,N/A,N/A,center
Consumerist,https://consumerist.com/,N/A,N/A,N/A,N/A,N/A,N/A,center
Cook Political Report,http://cookpolitical.com/,USA (45/180 Press Freedom),HIGH,Website,Medium Traffic,N/A,N/A,center
Corriere Della Sera,https://www.corriere.it/,N/A,N/A,N/A,N/A,N/A,N/A,center
Coronavirus.gov,https://www.coronavirus.gov/,USA,HIGH,N/A,N/A,N/A,N/A,center
Council on Foreign Relations,https://www.cfr.org/,USA (44/180 Press Freedom),HIGH,Organization/Foundation,Medium Traffic,N/A,N/A,center
Countable,https://www.countable.us,USA,HIGH,N/A,N/A,N/A,N/A,center
Country Living,https://www.countryliving.com/,USA,HIGH,Magazine,High Traffic,MOSTLY FREE,N/A,center
Courthouse News Service,https://www.courthousenews.com,USA (44/180 Press Freedom),HIGH,Website,Medium Traffic,N/A,N/A,center
The Covid Tracking Project,https://covidtracking.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
CP24,https://www.cp24.com/,Canada (14/180 Press Freedom),HIGH,TV Station,High Traffic,N/A,N/A,center
Crains Detroit,https://www.crainsdetroit.com/,USA (45/180 Press Freedom),HIGH,Magazine,Medium Traffic,N/A,N/A,center
CTV News,https://www.ctvnews.ca/,Canada (16/180 Press Freedom),HIGH,TV Station,High Traffic,N/A,N/A,center
D.C. Circuit Breaker,https://dccircuitbreaker.org,USA,HIGH,N/A,N/A,N/A,N/A,center
Daily Business Review,https://www.law.com/dailybusinessreview/,USA (44/180 Press Freedom),HIGH,Website,Medium Traffic,N/A,N/A,center
Daily Camera,https://www.dailycamera.com,USA,HIGH,N/A,N/A,N/A,N/A,center
Daily Journal (Illinois),http://www.daily-journal.com,USA,HIGH,N/A,N/A,N/A,N/A,center
Daily Journal (Missouri),https://dailyjournalonline.com,USA,HIGH,N/A,N/A,N/A,N/A,center
Daily Maverick,https://www.dailymaverick.co.za/,South Africa,HIGH,N/A,N/A,N/A,N/A,center
Daily Nonpareil,https://nonpareilonline.com/,USA,HIGH,Newspaper,Minimal Traffic,N/A,N/A,center
Daily Record,http://www.dailyrecord.com/,USA (45/180 Press Freedom),HIGH,Newspaper,Medium Traffic,N/A,N/A,center
Darien Times,http://www.darientimes.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
Dayton Daily News,https://www.daytondailynews.com,USA,HIGH,N/A,N/A,N/A,N/A,center
Defense News,https://www.defensenews.com,USA,HIGH,N/A,N/A,N/A,N/A,center
Defense One,https://www.defenseone.com/,USA (44/180 Press Freedom),HIGH,Website,Medium Traffic,N/A,N/A,center
Del Rio News-Herald,http://delrionewsherald.com,USA,HIGH,N/A,N/A,N/A,N/A,center
Denison Bulletin Review,https://dbrnews.com/,USA,HIGH,Newspaper,Minimal Traffic,MOSTLY FREE,N/A,center
Denton Record-Chronicle,https://www.dentonrc.com,USA,HIGH,N/A,N/A,N/A,N/A,center
The Des Moines Register,https://www.desmoinesregister.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
Detik.com,https://www.desmoinesregister.com/,N/A,N/A,N/A,N/A,N/A,N/A,center
DifferenceBetween.net,http://www.differencebetween.net,USA,VERY HIGH,N/A,N/A,N/A,N/A,center
Digi24,http://www.differencebetween.net,Romania,HIGH,TV Station,High Traffic,MOSTLY FREE,N/A,center
Digital Journal,https://www.digitaljournal.com/,USA (44/180 Press Freedom),HIGH,Website,Medium Traffic,N/A,N/A,center
Dispatch – Argus,https://qconline.com/,USA,HIGH,Newspaper,Medium Traffic,MOSTLY FREE,N/A,center
D Magazine,https://www.dmagazine.com/,USA,HIGH,Magazine,Medium Traffic,MOSTLY FREE,N/A,center
Doctors Without Borders,https://www.doctorswithoutborders.org/,France (34/180 Press Freedom),HIGH,Organization/Foundation,Medium Traffic,N/A,N/A,center
Dothan Eagle,https://dothaneagle.com/,USA,HIGH,Newspaper,Medium Traffic,N/A,N/A,center
DPA German Press Agency,https://www.dpa.com/,Germany (13/180 Press Freedom),HIGH,News Agency,High Traffic,N/A,N/A,center
Duluth News Tribune,https://www.duluthnewstribune.com,USA,HIGH,N/A,N/A,N/A,N/A,center
Eagle Tribune,https://www.eagletribune.com/,USA (45/180 Press Freedom),HIGH,Newspaper,Medium Traffic,N/A,N/A,center
Eastern Daily Press (UK),https://www.edp24.co.uk/,United Kingdom,HIGH,Newspaper,High Traffic,MOSTLY FREE,N/A,center
East Idaho News,https://www.eastidahonews.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
Eat This Not That,https://www.eatthis.com/,USA,MOSTLY FACTUAL,Website,High Traffic,N/A,N/A,center
Eau Claire Leader-Telegram,https://www.leadertelegram.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
Elko Daily Free Press,https://elkodaily.com/,USA,HIGH,Newspaper,Minimal Traffic,MOSTLY FREE,N/A,center
El Nuevo Dia,https://www.elnuevodia.com/english/,N/A,N/A,N/A,N/A,N/A,N/A,center
Erie Times-News,http://www.goerie.com,USA,HIGH,N/A,N/A,N/A,N/A,center
ERR News (Estonia Public Broadcasting),https://news.err.ee/,Estonia (12/180 Press Freedom),HIGH,TV Station,High Traffic,N/A,N/A,center
Eurasia Group,https://www.eurasiagroup.net/,USA,HIGH,N/A,N/A,N/A,N/A,center
Every CRS Report,https://www.everycrsreport.com/,USA,VERY HIGH,N/A,N/A,N/A,N/A,center
FactCheck.org,http://www.factcheck.org/,USA (45/180 Press Freedom),VERY-HIGH,Organization/Foundation,High Traffic,N/A,N/A,center
Factwire News Agency,https://www.factwire.org/english,Hong Kong,HIGH,N/A,N/A,N/A,N/A,center
Fayetteville Observer,https://www.fayobserver.com/,USA (44/180 Press Freedom),HIGH,Newspaper,Medium Traffic,N/A,N/A,center
Federal News Network,https://federalnewsnetwork.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
Federal Times,https://www.federaltimes.com/,USA (44/180 Press Freedom),HIGH,Website/Magazine,Minimal Traffic,N/A,N/A,center
Financial Times,https://www.ft.com/,United Kingdom (35/180 Press Freedom),HIGH,Newspaper,High Traffic,N/A,N/A,center
First Coast News,https://www.firstcoastnews.com/,USA,MOSTLY FACTUAL,N/A,N/A,N/A,N/A,center
First Draft News,https://firstdraftnews.org/,USA (44/180 Press Freedom),HIGH,Organization/Foundation,Minimal Traffic,N/A,N/A,center
Florida Politics,https://firstdraftnews.org/,N/A,N/A,N/A,N/A,N/A,N/A,center
Florida Times-Union,https://www.jacksonville.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
Foreign Affairs,https://www.foreignaffairs.com/,USA (44/180 Press Freedom),HIGH,Journal,Medium Traffic,N/A,N/A,center
Foreign Policy,https://foreignpolicy.com/,USA (45/180 Press Freedom),HIGH,Magazine,High Traffic,N/A,N/A,center
Foster’s Daily Democrat,https://www.fosters.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
FourStatesHomepage.com,https://www.fourstateshomepage.com/,USA (44/180 Press Freedom),HIGH,TV Station,Medium Traffic,N/A,N/A,center
France24,https://www.france24.com/en,France (34/180 Press Freedom),HIGH,TV Station,High Traffic,N/A,N/A,center
Full Fact (UK),https://fullfact.org/,United Kingdom,HIGH,N/A,N/A,N/A,N/A,center
Gallup,https://news.gallup.com,USA (45/180 Press Freedom),VERY HIGH,Organization/Foundation,High Traffic,N/A,N/A,center
Geek.com,https://www.geek.com,USA,HIGH,N/A,N/A,N/A,N/A,center
Global Integrity,https://www.globalintegrity.org/,USA,HIGH,N/A,N/A,N/A,N/A,center
Global Slavery Index,https://www.globalslaveryindex.org,Australia,HIGH,N/A,N/A,N/A,N/A,center
Globe Gazette (Iowa),http://globegazette.com,USA,HIGH,N/A,N/A,N/A,N/A,center
GoodNewsNetwork,https://www.goodnewsnetwork.org/,USA (45/180 Press Freedom),HIGH,Website,Medium Traffic,N/A,N/A,center
US Government Accountability Office (GAO),https://www.gao.gov,USA,HIGH,N/A,N/A,N/A,N/A,center
GovTrack,https://www.govtrack.us/,USA,HIGH,N/A,N/A,N/A,N/A,center
Great Falls Tribune,https://www.greatfallstribune.com,USA,HIGH,N/A,N/A,N/A,N/A,center
Green Bay Press-Gazette,https://www.greenbaypressgazette.com,USA,HIGH,N/A,N/A,N/A,N/A,center
Greenville News,https://www.greenvilleonline.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
Ground News,https://ground.news/,Canada,MOSTLY FACTUAL,Website/App,High Traffic,MOSTLY FREE,N/A,center
Group of Thirty,https://group30.org/,USA,HIGH,N/A,N/A,N/A,N/A,center
Hanford Sentinel,https://hanfordsentinel.com,USA,HIGH,N/A,N/A,N/A,N/A,center
Harvard Business Review,https://hbr.org,USA (44/180 Press Freedom),HIGH,Magazine,High Traffic,N/A,N/A,center
Harvard Gazette,https://news.harvard.edu/,USA (45/180 Press Freedom),HIGH,Website,Medium Traffic,N/A,N/A,center
Hastings Tribune,http://www.hastingstribune.com,USA,HIGH,N/A,N/A,N/A,N/A,center
Healthcare Finance News,https://www.healthcarefinancenews.com/,USA (44/180 Press Freedom),HIGH,Website,Minimal Traffic,N/A,N/A,center
Herald & Review (Illinois),https://herald-review.com,USA,HIGH,Newspaper,Medium Traffic,MOSTLY FREE,N/A,center
Heterodox Academy,https://heterodoxacademy.org,USA (44/180 Press Freedom),HIGH,Organization/Foundation,Minimal Traffic,N/A,N/A,center
Hickory Daily Record,https://hickoryrecord.com/,USA,HIGH,Newspaper,Medium Traffic,MOSTLY FREE,N/A,center
Homeland Security News Wire,http://www.homelandsecuritynewswire.com,USA,HIGH,N/A,N/A,N/A,N/A,center
HowStuffWorks,https://www.howstuffworks.com/,USA,VERY HIGH,N/A,N/A,N/A,N/A,center
How-To Geek,https://www.howtogeek.com,USA,VERY HIGH,N/A,N/A,N/A,N/A,center
I24 News,https://www.i24news.tv,Israel,HIGH,N/A,N/A,N/A,N/A,center
ICitizen,https://icitizen.com,USA,HIGH,N/A,N/A,N/A,N/A,center
Idaho Statesman,http://www.idahostatesman.com,USA,HIGH,N/A,N/A,N/A,N/A,center
iMediaEthics,https://www.imediaethics.org,USA,HIGH,N/A,N/A,N/A,N/A,center
Inc. Magazine,https://www.inc.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
Independent Record (Montana),https://helenair.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
Independent Voter Network (IVN),https://ivn.us/,USA,HIGH,N/A,N/A,N/A,N/A,center
IndexMundi,https://www.indexmundi.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
Indianapolis Star,https://www.indystar.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
Inland Valley Daily Bulletin,https://www.dailybulletin.com,USA,HIGH,N/A,N/A,N/A,N/A,center
Institute for Women’s Policy Research (IWPR),https://iwpr.org,USA,HIGH,Organization/Foundation,Minimal Traffic,MOSTLY FREE,N/A,center
International Consortium of Investigative Journalists,https://www.icij.org/,USA,VERY HIGH,N/A,N/A,N/A,N/A,center
International Energy Agency (IEA),https://www.iea.org/,France (34/180 Press Freedom),HIGH,Organization/Foundation,Medium Traffic,N/A,N/A,center
International Organization,https://www.cambridge.org/core/journals/international-organization,United Kingdom,VERY HIGH,N/A,N/A,N/A,N/A,center
International Press Institute,https://ipi.media/,Austria,VERY HIGH,N/A,N/A,N/A,N/A,center
International Rescue Committee (IRC),https://www.rescue.org/,USA,HIGH,N/A,N/A,N/A,N/A,center
Investigative Reporters and Editors,https://www.ire.org/,USA,VERY HIGH,N/A,N/A,N/A,N/A,center
Investing.com,https://www.investing.com/,Cyprus,MIXED,Website,High Traffic,MOSTLY FREE,N/A,center
Investopedia,https://www.investopedia.com,USA (44/180 Press Freedom),HIGH,Website,High Traffic,N/A,N/A,center
Jackson Sun,https://www.jacksonsun.com,USA,HIGH,N/A,N/A,N/A,N/A,center
Janes Information Group,https://www.janes.com/,United Kingdom,HIGH,N/A,N/A,N/A,N/A,center
Japan Times,https://www.japantimes.co.jp/,Japan,HIGH,N/A,N/A,N/A,N/A,center
Jewish Telegraphic Agency (JTA),https://www.jta.org/,USA,HIGH,N/A,N/A,N/A,N/A,center
Journal Gazette,http://www.journalgazette.net/,USA,HIGH,N/A,N/A,N/A,N/A,center
Justice Denied,http://justicedenied.org,USA,HIGH,N/A,N/A,N/A,N/A,center
KAIT8-TV,https://www.kait8.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
KALB – Central Louisiana News,https://www.kalb.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
KARE11,https://www.kare11.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
KARK – Little Rock News,https://www.kark.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
KATH – Juneau,https://www.alaskasnewssource.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
KAUU – Anchorage,https://www.alaskasnewssource.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
KBMT – 12NewsNow,https://www.12newsnow.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
KBTX News 3,https://www.kbtx.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
KCCI Des Moines,https://www.kcci.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
KCRG News,https://www.kcrg.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
KCRA 3,https://www.kcra.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
KCTV5,https://www.kctv5.com/,USA (45/180 Press Freedom),HIGH,TV States,Medium Traffic,N/A,N/A,center
KDAF – CW33,https://cw33.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
KDKA – CBS Pittsburgh,https://pittsburgh.cbslocal.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
KDVR-TV,https://kdvr.com/,USA (44/180 Press Freedom),HIGH,TV Station,Medium Traffic,N/A,N/A,center
KERO – 23ABC,https://www.turnto23.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
KETV,https://www.ketv.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
KFSM – Fort Smith-Fayetteville News,https://www.12news.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
KFVS – Cape Girardeau News,https://www.kfvs12.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
KGNS News,https://www.kgns.tv/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
KGPE – Fresno News,https://www.yourcentralvalley.com/,USA,HIGH,TV Station,Medium Traffic,N/A,N/A,center
KGWN – Wyoming News Now,https://www.wyomingnewsnow.tv/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
KHON – Honolulu News,https://www.khon2.com/,USA,HIGH,TV Station,Medium Traffic,N/A,N/A,center
KIAH – CW39,https://cw39.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
Kiplinger,https://www.kiplinger.com/,USA (45/180 Press Freedom),HIGH,Magazine,High Traffic,N/A,N/A,center
KIRO 7,https://www.kiro7.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
KITV,https://www.kitv.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
KKTV 11 News,https://www.kktv.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
KLAS – Las Vegas News,https://www.8newsnow.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
KLRT – Little Rock News,https://www.fox16.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
KMOV,https://www.kmov.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
KNOP TV,https://www.knopnews2.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
Know Your Meme,https://knowyourmeme.com/,USA (44/180 Press Freedom),HIGH,Website,High Traffic,N/A,N/A,center
Knowhere,https://knowherenews.com,USA,HIGH,N/A,N/A,N/A,N/A,center
Knoxville News Sentinel,https://www.knoxnews.com,N/A,HIGH,N/A,N/A,N/A,N/A,center
KOAM News Now,https://www.koamnewsnow.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
KOIN – Portland,https://www.koin.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
KOLD News 13,https://www.kold.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
KOLO 8 News Now,https://www.kolotv.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
KOLR – Springfield News,https://www.ozarksfirst.com/,USA,HIGH,TV Station,Medium Traffic,N/A,N/A,center
Kompas.com,https://inside.kompas.com/,N/A,N/A,N/A,N/A,N/A,N/A,center
KPLC – Lake Charles News,https://www.kplctv.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
KRON 4,https://www.kron4.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
KRQE – Albuquerque,https://www.krqe.com/,USA,HIGH,TV Station,Medium Traffic,N/A,N/A,center
