content.pair_id,content.similarity,content.url1,content.url2,content.title1,content.title2,real_lang1,real_lang2,GEO,ENT,TIME,NAR,OVERALL,STYLE,TONE,FRAME
1519419834_1518670104,2.5,http://www.vox.com/2020/2/12/21134430/elizabeth-warren-nevada-super-tuesday,http://freebeacon.com/politics/bernie-wins-new-hampshire/,Elizabeth Warren isn’t done yet,"RED SCARE: Bernie Sanders Wins New Hampshire, Takes Command of Democratic Party",en,en,Very Similar,Very Similar,Very Similar,Somewhat Similar,Somewhat Similar,Very Similar,Very Similar,Somewhat Similar
1582942384_1582901007,3,http://ijr.org/trump-slams-fox-news-after-pelosi-appears-on-network/,http://crooksandliars.com/2020/04/trump-lashes-out-dumb-person-nancy-pelosi,Trump Slams Fox News After Pelosi Appears on Network,Trump Lashes Out At 'Dumb Person' Nancy Pelosi After She Calls Him A 'Weak Leader' On Fox,en,en,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar
1569547941_1569598761,2.5,http://talkingpointsmemo.com/news/surgeon-general-jerome-adams-pearl-harbor-911-moment,http://dailycaller.com/2020/04/05/jerome-adams-coronavirus-pearl-harbor-moment/,Surgeon General: COVID-19 Cases Next Week Will Be &#8216;Our Pearl Harbor Moment&#8217;,Jerome Adams Predicts Coronavirus ‘Pearl Harbor Moment’ In Coming Weeks,en,en,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar
1488164643_1487668726,2.5,http://ijr.com/obama-advisor-voting-trump-dangerous-national-security/,http://talkingpointsmemo.com/news/pelosi-tells-dems-shell-hold-a-vote-to-limit-trumps-war-powers-in-iran,Obama&#8217;s Deputy National Security Advisor: Voting for Trump Is Dangerous to National Security,Pelosi Tells Dems She&#8217;ll Hold A Vote To Limit Trump&#8217;s War Powers In Iran,en,en,Very Similar,Somewhat Similar,Very Similar,Somewhat Similar,Somewhat Similar,Somewhat Similar,Very Similar,Very Similar
1502977943_1499166301,2.5,http://www.nationalmemo.com/lindsey-grahams-most-compelling-arguments-for-impeachment/,http://twitchy.com/jacob-38/2020/01/19/i-want-this-trial-to-get-over-with-lindsey-graham-says-if-one-witness-is-called-all-of-them-are-gonna-get-called/,Lindsey Graham’s Most Compelling Arguments &#8212; For Impeachment,"'I want this trial to get over with': Lindsey Graham says if one witness is called, ALL of them are gonna get called",en,en,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar,Somewhat Dissimilar,Very Similar,Very Similar
1485744531_1488968922,2.5,http://gizmodo.com/no-graffiti-did-not-appear-overnight-in-iran-thanking-1840789932,http://twitchy.com/brett-3136/2020/01/07/foreign-policy-although-americans-painted-soleimani-as-a-hard-liner-he-was-really-an-apolitical-patriot/,"No, Graffiti Did Not Appear Overnight in Iran Thanking President Trump","Foreign Policy: Although Americans painted Soleimani as a hard-liner, he was really an apolitical patriot",en,en,Very Similar,Somewhat Similar,Very Dissimilar,Somewhat Similar,Somewhat Similar,Somewhat Dissimilar,Very Similar,Very Dissimilar
1493611329_1495106078,2.5,http://www.haaretz.com/world-news/wires/1.8385791,http://torontosun.com/opinion/columnists/gunter-the-downing-of-the-plane-was-irans-fault-despite-what-woke-ceos-say,WRAPUP 3-'Clerics get lost!': Iran protests rage on over plane disaster,"GUNTER: The downing of the plane was Iran&#8217;s fault, despite what woke CEOs say",en,en,Very Similar,Somewhat Similar,Very Similar,Somewhat Similar,Somewhat Similar,Somewhat Similar,Very Similar,Somewhat Similar
1554329027_1553127635,2.5,http://www.mediaite.com/news/as-whereisjoe-trends-on-twitter-biden-emerges-to-blast-trump-behind-the-curve-on-coronavirus-response/,http://ijr.com/tulsi-gabbard-ends-2020-bid/,"As #WhereIsJoe Trends on Twitter, Biden Emerges to Blast Trump: ‘Behind the Curve’ on Coronavirus Response","Biden or Sanders? Tulsi Gabbard Ends 2020 Bid, Leaving Dem Primary to Two-Way Race",en,en,Very Similar,Somewhat Similar,Very Similar,Very Dissimilar,Somewhat Dissimilar,Somewhat Similar,Very Similar,Very Dissimilar
1588254917_1587945098,2.5,http://www.thesun.co.uk/news/11477209/trump-coronavirus-press-briefing-less-appearances-abrupt-exit/,http://www.towleroad.com/2020/04/lysol-disinfectant-dontdrinkbleach-trend-after-trumps-insane-remarks/,Trump ‘plans to cut length of coronavirus briefings and appear less regularly’ as he abruptly leaves conference,"Lysol, #Disinfectant, #DontDrinkBleach Trend After Trump’s Insane Remarks",en,en,Very Similar,Somewhat Similar,Very Similar,Somewhat Similar,Somewhat Similar,Somewhat Similar,Very Similar,Very Similar
1546548329_1549167900,2.5,http://dailycaller.com/2020/03/12/disneyland-california-coronavirus-pandemic/,http://www.thedailybeast.com/disneyland-will-close-amid-coronavirus-but-continue-paying-cast-members,Disneyland Closes Down Amid Coronavirus Pandemic,Disneyland Will Close Amid Coronavirus but Continue Paying Cast Members,en,en,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar,Somewhat Similar,Very Similar,Very Similar
1488034103_1488003718,2.5,http://www.mediaite.com/online/st-show-mistaken-release-of-letter-announcing-withdrawal-from-iraq-triggers-mass-confusion-panic/,http://dailycaller.com/2020/01/06/us-iraq-iran-soleimani-military/,"&#8216;S**t Show&#8217;: Mistaken Release of Letter Announcing Withdrawal from Iraq Triggers Mass Confusion, Panic",U.S. Military Tells Iraq They Are Preparing To Move Out,en,en,Very Similar,Somewhat Similar,Very Similar,Very Similar,Very Similar,Somewhat Similar,Very Similar,Very Similar
1619412629_1619483855,2.5,http://www.thesun.co.uk/news/11733339/george-floyd-death-police-riots-minneapolis-aftermath/,http://thegrio.com/2020/05/28/minnesota-governor-activates-national-guard/,George Floyd – Stark photographs show scale of damage done in wild riots during night of protesting,Minnesota governor activates National Guard as protests continue,en,en,Very Similar,Somewhat Similar,Very Similar,Somewhat Similar,Somewhat Similar,Very Similar,Very Similar,Somewhat Similar
1550103027_1550468283,2.5,http://www.thesun.co.uk/tvandshowbiz/11187458/susanna-reid-self-isolation-coronavirus/,http://www.dailyrecord.co.uk/entertainment/celebrity/gmb-presenter-susanna-reid-self-21705202,Susanna Reid puts herself in self-isolation due to coronavirus symptoms in her household,GMB presenter Susanna Reid in self-isolation for two weeks,en,en,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar
1485987201_1488892712,2.5,http://secondnexus.com/yingst-pompeo-soleimani-assassination-de-escalation,http://freebeacon.com/national-security/pompeo-trump-admin-ready-to-launch-more-strikes-on-iran/,Fox News Reporter Calls BS On Trump Admin's Claim That Assassination of Soleimani Was an Act of 'De-Escalation',Pompeo: Trump Admin Ready to Launch More Strikes on Iran,en,en,Very Similar,Somewhat Similar,Very Similar,Somewhat Similar,Somewhat Similar,Very Similar,Very Similar,Somewhat Dissimilar
1561757567_1560956009,2.5,http://dailycaller.com/2020/03/28/thomas-massie-coronavirus-relief-bill/,http://www.dailykos.com/stories/1931810,Rep. Thomas Massie Speaks Out: ‘They Don’t Want To Hear The Truth’,"Defeating Republican stunt, House passes $2 trillion in coronavirus stimulus",en,en,Very Similar,Very Similar,Very Similar,Somewhat Similar,Somewhat Similar,Very Similar,Very Similar,Very Dissimilar
1615979893_1615962304,2.5,http://www.rawstory.com/2020/05/combative-netanyahu-attacks-fabricated-graft-charges-as-trial-begins/,http://www.hurriyetdailynews.com/israels-netanyahu-attacks-justice-system-as-trial-begins-155046,Combative Netanyahu attacks ‘fabricated’ graft charges as trial begins,Israel's Netanyahu attacks justice system as trial begins,en,en,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar
1626130557_1562562931,2.5,http://hillreporter.com/trump-furious-and-potentially-ready-to-openly-defy-anthony-fauci-62444,http://hotair.com/archives/ed-morrissey/2020/03/29/trump-thirty-days-federal-stay-home-guidelines/,Trump 'Furious' And Potentially Ready To Openly Defy Anthony Fauci,"<span class=""red"">Trump: Thirty more days of federal stay-at-home guidelines</span>",en,en,Very Similar,Somewhat Similar,Very Similar,Somewhat Dissimilar,Somewhat Dissimilar,Somewhat Dissimilar,Very Similar,Very Similar
1509524314_1507482082,2.5,http://americanindependent.com/jared-kushner-middle-east-peace-plan-israel-palestine-cnn/,http://dailycaller.com/2020/01/28/trump-netanyahu-israel-palestinian-peace-deal/,Jared Kushner says his Middle East peace plan works if you forget all of history,"Trump, Netanyahu Propose Israel-Palestinian Peace Deal",en,en,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar,Very Dissimilar
1531995022_1532004752,2.5,http://ijr.com/native-americans-warren-disavow-heritage-claims/,http://americanindependent.com/elizabeth-warren-native-american-ancestry-retraction-cherokee-nation-tribal-citizenship/,Native Americans Press Warren to Disavow Controversial Heritage Claims,Warren responds to concerns from Native American groups about her ancestry,en,en,Very Similar,Somewhat Similar,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar
1607249026_1561919415,2.5,http://politicaldig.com/cdc-issues-travel-advisory-for-three-states-after-trump-request-report,http://dailycaller.com/2020/03/28/trump-quarantine-will-not-be-necessary-instead-directs-cdc-to-issue-strong-travel-advisory/,CDC Issues Travel Advisory For Three States After Trump Request: Report,"Trump: ‘Quarantine Will Not Be Necessary,’ Instead Directs CDC To Issue ‘Strong’ Travel Advisory",en,en,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar,Somewhat Similar,Very Similar,Very Similar
1554224868_1554249842,3.5,http://dailycaller.com/2020/03/20/trump-nbc-peter-alexander-questions-coronavirus/,http://talkingpointsmemo.com/news/trump-reporter-coronavirus-press-briefing,‘You’re A Terrible Reporter’: Trump Flips Out At NBC Reporter’s Questions,Trump Snaps At Reporter When Asked To Give A Message To Scared Americans,en,en,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar,Somewhat Similar,Very Similar,Very Similar
1554224868_1554249842,3.5,http://dailycaller.com/2020/03/20/trump-nbc-peter-alexander-questions-coronavirus/,http://talkingpointsmemo.com/news/trump-reporter-coronavirus-press-briefing,‘You’re A Terrible Reporter’: Trump Flips Out At NBC Reporter’s Questions,Trump Snaps At Reporter When Asked To Give A Message To Scared Americans,en,en,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar,Somewhat Similar,Very Similar,Very Similar
1593544749_1593630545,3,http://www.rawstory.com/2020/04/watch-gun-toting-michigan-protesters-pack-into-statehouse-to-scream-in-one-anothers-faces/,http://hotair.com/archives/ed-morrissey/2020/04/30/trump-acosta-sure-hope-cnn-will-cover-fbi-dirty-cops-flynn/,WATCH: Gun-toting Michigan protesters pack into statehouse to scream in one another’s faces,"Trump to Acosta: I sure hope CNN will cover what these FBI ""dirty cops"" did to Flynn",en,en,Somewhat Dissimilar,Somewhat Similar,Very Similar,Very Dissimilar,Somewhat Dissimilar,Somewhat Similar,Very Similar,Other
1521481259_1521669888,2.5,http://www.haaretz.com/world-news/wires/1.8533422,http://amgreatness.com/2020/02/14/doj-assigns-u-s-attorney-to-review-fbis-ambush-interview-of-general-flynn/,Attorney General Barr taps outside prosecutor to review case against ex-Trump adviser Michael Flynn,DOJ Assigns U.S. Attorney to Review FBI&#8217;s Ambush Interview of General Flynn,en,en,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar
1556398011_1556271605,2.5,http://www.dailyrecord.co.uk/entertainment/celebrity/loose-women-fans-outraged-old-21739235,http://www.telegraph.co.uk/tv/0/itv-cancels-live-loose-woman-lorraine-reducing-soaps/,Loose Women fans left confused old episodes are aired,ITV cancels live Loose Woman and Lorraine while reducing soaps,en,en,Other,Other,Other,Other,Other,Other,Other,Other
1589784149_1571712863,3,http://www.aa.com.tr/en/latest-on-coronavirus-outbreak/turkeys-death-toll-from-coronavirus-rises-to-908/1799015,http://www.middleeastmonitor.com/20200407-turkey-death-toll-from-coronavirus-rises-to-725/,Turkey's death toll from coronavirus rises to 908,Turkey: Death toll from coronavirus rises to 725,en,en,Very Similar,Very Similar,Very Similar,Somewhat Similar,Somewhat Similar,Very Similar,Very Similar,Very Similar
1545384829_1545231687,2.5,http://slate.com/news-and-politics/2020/03/bernie-sanders-begins-final-phase-of-his-presidential-campaign.html?via=rss,http://www.christianheadlines.com/contributors/michael-foust/biden-wins-again-thanks-to-democrats-believing-he-can-beat-trump-exit-polls-show.html,"Bernie Sanders Is Still in the Race, but the Revolution Is Out","Biden Wins Again Thanks to Democrats Believing He Can Beat Trump, Exit Polls Show",en,en,Very Similar,Very Similar,Very Similar,Somewhat Similar,Somewhat Similar,Very Similar,Very Similar,Somewhat Dissimilar
1626006374_1626545048,2.5,http://ijr.org/minnesota-attorney-son-dismantling-minneapolis-police-department/,http://theweek.com/10things/918389/10-things-need-know-today-june-5-2020,Minnesota Attorney General’s Son Calls for the Dismantling of the Minneapolis Police Department,"10 things you need to know today: June 5, 2020",en,en,Somewhat Similar,Somewhat Dissimilar,Very Similar,Somewhat Dissimilar,Somewhat Dissimilar,Very Dissimilar,Very Similar,Other
1573645701_1572561952,2.5,http://ijr.com/mnuchin-us-could-reopen-may/,http://www.rawstory.com/2020/04/us-democrats-seek-billions-more-for-hospitals-states-to-fight-virus/,Steven Mnuchin Says the US Could Reopen by May if Trump ‘Feels Comfortable’,"US Democrats seek billions more for hospitals, states to fight virus",en,en,Very Similar,Somewhat Similar,Very Similar,Somewhat Dissimilar,Somewhat Dissimilar,Somewhat Similar,Very Similar,Very Dissimilar
1509243255_1508847203,2.5,http://www.dailytelegraph.com.au/business/work/european-parliament-votes-in-favour-of-boris-johnson-brexit-deal/news-story/b1ccef59ac0ee3ed67e1ecb5d8a9d970,http://www.rawstory.com/2020/01/brexit-sealed-with-final-brussels-vote/,Britain to leave EU on Friday,Brexit sealed with final Brussels vote,en,en,Very Similar,Somewhat Similar,Very Similar,Somewhat Similar,Somewhat Similar,Very Similar,Very Similar,Very Similar
1489992846_1489755374,2.5,http://www.newyorker.com/news/our-columnists/one-speech-cant-clean-up-trumps-iran-mess,http://dailycaller.com/2020/01/08/trump-address-nation-iran-missiles-iraq-soleimani/,One Speech Can’t Clean Up Trump’s Iran Mess,Trump Offers Iran A Chance For Peace After Country Launches Missiles At US Bases In Iraq,en,en,Very Similar,Somewhat Similar,Very Similar,Somewhat Similar,Somewhat Similar,Somewhat Dissimilar,Somewhat Dissimilar,Very Similar
1572638724_1574001504,3,http://ijr.com/bernie-sanders-drops-out-joe-biden/,http://www.nationalmemo.com/ending-campaign-sanders-pledges-to-stand-united-with-biden,Biden Praises Bernie Sanders After He Drops Out: ‘He’s Created a Movement’,"Ending Campaign, Sanders Pledges To ‘Stand United’ With Biden",en,en,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar,Somewhat Dissimilar,Very Similar,Very Similar
1555254186_1555780534,2.5,http://hotair.com/archives/john-s-2/2020/03/21/joe-biden-plans-offer-coronavirus-shadow-briefings-starting-next-week/,http://www.dailykos.com/stories/1930020,Joe Biden to offer regular coronavirus shadow-briefings starting next week,"Her presidential bid is over, yet it's Warren who dominates the airwaves on Covid-19",en,en,Very Similar,Somewhat Dissimilar,Very Similar,Very Dissimilar,Somewhat Dissimilar,Somewhat Dissimilar,Very Similar,Other
1595901130_1595945541,2.5,http://ijr.org/fda-commissioner-mitigation-not-work-as-well-expected/,http://crooksandliars.com/2020/05/former-fda-chief-says-1000-deaths-day-new,Former FDA Commissioner Says Coronavirus Mitigation Did Not Work ‘as Well as We Expected’,"Former FDA Chief Says 1,000 Deaths A Day Is The 'New Normal' Because Trump Plan 'Didn't Work'",en,en,Very Similar,Very Similar,Very Similar,Somewhat Similar,Somewhat Similar,Very Similar,Very Similar,Very Similar
1547492154_1546202339,3,http://www.theroot.com/everybody-hates-rudy-gobert-1842314122,http://dailycaller.com/2020/03/12/utah-jazz-donavan-mitchell-coronavirus/,Everybody Hates Rudy Gobert,Utah Jazz Star Donavan Mitchell Reportedly Tests Positive For Coronavirus,en,en,Other,Other,Other,Other,Other,Other,Other,Other
1488190716_1488229249,2.5,http://www.mediaite.com/tv/laura-ingraham-trump-shouldnt-listen-to-same-people-who-got-us-sucked-into-iraq-in-the-first-place/,http://grabien.com/story.php?id=267415,Laura Ingraham: Trump Shouldn’t Listen to &#8216;Same People Who Got Us Sucked Into Iraq in the First Place&#8217;,Fox’s Ingraham on Soleiman Kill: Trump’s a Realist,en,en,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar
1586198353_1586941795,2.5,http://www.mediaite.com/tv/cdc-chief-addresses-interview-after-trump-remarks-im-accurately-quoted-in-report-but-the-headline-was-inappropriate/,http://ijr.org/cdc-head-tries-clarify-remarks-second-coronavirus-wave/,CDC Chief Addresses Interview After Trump Remarks: I’m Accurately Quoted in Report ‘But the Headline Was Inappropriate’,CDC Head Tries to Clarify Remarks About a Second Coronavirus Wave After Trump Pushes Back,en,en,Very Similar,Somewhat Similar,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar
1577633777_1598106396,2.5,http://ijr.com/trump-criticism-coronavirus-briefing/,http://www.rawstory.com/2020/04/cnn-reporter-flat-out-contradicts-trump-to-his-face-when-he-claims-king-like-authority/,‘The Biggest Meltdown I’ve Ever Seen’: Trump Draws Harsh Criticism Over Coronavirus Briefing,CNN reporter flat-out contradicts Trump to his face when he claims king-like authority,en,en,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar
1519131344_1519107787,2.5,http://www.haaretz.com/world-news/wires/1.8527662,http://dailycaller.com/2020/02/12/pope-francis-married-priests-catholic-church/,"UPDATE 2-Upholding celibacy, Pope sidesteps bid to ordain some married men",Pope Francis Rejects Proposal To Allow Married Priests,en,en,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar
1536627187_1546770686,2.5,http://www.rawstory.com/2020/03/watch-live-trump-takes-a-break-from-coronavirus-response-to-give-campaign-speech-in-north-carolina/,http://www.the-sun.com/news/484621/vote-democratic-primaries-super-tuesday/,WATCH LIVE: Trump takes a break from coronavirus response to give campaign speech in North Carolina,Who can vote today in the democratic primaries? Super Tuesday voting rules explained,en,en,Very Similar,Somewhat Similar,Very Similar,Somewhat Dissimilar,Somewhat Dissimilar,Very Similar,Very Similar,Very Similar
1501773561_1502287137,2.5,http://www.haaretz.com/world-news/wires/1.8435755,http://www.dailytelegraph.com.au/news/breaking-news/possible-saudi-link-to-bezos-hack-un/news-story/924ee949478824bac6bc2ad840345d9b,UPDATE 4-Saudi prince may have been involved in Bezos phone hacking - U.N. experts,Alleged Saudi hack of Amazon boss Bezos,en,en,Other,Other,Other,Other,Other,Other,Other,Other
1587861360_1587916586,2.5,http://dailycaller.com/2020/04/24/lysol-statement-donald-trump-disinfectant-injection-coronavirus-covid-19-reckitt-benckiser/,http://www.mediaite.com/news/white-house-tries-to-walk-back-trump-statement-on-injecting-disinfectant-hes-repeatedly-said-people-should-consult-with-doctors/,Lysol Manufacturer: ‘Under No Circumstance’ Should Disinfectants Be Used ‘Internally’ To Treat Coronavirus,White House Tries to Walk Back Trump Statement on Injecting Disinfectant: He’s Repeatedly Said People Should Consult With Doctors,en,en,Very Similar,Somewhat Similar,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar,Very Dissimilar
1500448294_1502106883,2.5,http://www.thesun.co.uk/tvandshowbiz/10784700/jennifer-aniston-reveals-uncomfortable-way-she-stopped-sag-awards-dress-getting-ruined-ahead-of-brad-pitt-reunion/,http://www.cosmopolitan.com/entertainment/celebs/a30629857/brad-pitt-apologize-jennifer-aniston-messing-up-relationship/,Jennifer Aniston reveals uncomfortable way she stopped SAG Awards dress getting ruined ahead of Brad Pitt reunion,Brad Pitt Reportedly Apologized to Jennifer Aniston For Messing Up their Relationship,en,en,Other,Other,Other,Other,Other,Other,Other,Other
1606422305_1605637844,2.5,http://www.rawstory.com/2020/05/california-authorities-say-tesla-plant-could-reopen-next-week/,http://dailycaller.com/2020/05/13/elon-musk-california-tesla-economic-lockdowns/,California authorities say Tesla plant could reopen next week,California County Caves To Let Tesla Reopen After Musk Floated Moving The Plant To Texas,en,en,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar,Somewhat Similar
1558630026_1559834613,2.5,http://www.towleroad.com/2020/03/chris-hayes-trump-easter/,http://www.gopusa.com/msnbc-mouthpiece-refuses-to-air-trump-comments-calling-him-a-genuine-threat-to-public-health/,Chris Hayes Blasts Trump’s Easter Coronavirus Timeline: ‘He’s a Genuine Threat to Public Health’ — WATCH,"MSNBC mouthpiece refuses to air Trump comments, calling him a ‘genuine threat to public health’",en,en,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar
1511501683_1511597007,2.5,http://legalinsurrection.com/2020/02/is-nanny-bloomberg-the-latest-not-bernie-dnc-fave-dnc-changes-debate-threshold-opening-the-door-to-bloomberg/,http://talkingpointsmemo.com/news/dem-candidates-angry-with-dnc-over-new-debate-rules-that-favor-bloomberg,"Is Nanny Bloomberg the Latest &#8220;Not Bernie&#8221; DNC Fave? DNC Changes Debate Threshold, Opening the Door to Bloomberg",Dem Candidates Angry With DNC Over New Debate Rules That Favor Bloomberg,en,en,Very Similar,Very Similar,Very Similar,Somewhat Similar,Somewhat Similar,Very Similar,Very Similar,Very Similar
