Country,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao SAR, China","Macedonia, FYR",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Vietnam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe,Other North,Other South,World,
Australia,0,0,167,0,61,0,7,"1,179",0,14,0,"2,380",0,86,0,0,33,27,"1,543",0,0,101,28,237,26,464,721,934,297,0,0,0,119,0,"24,721",242,10,0,0,"1,236","13,286",234,0,0,0,113,0,"1,552",6,0,"3,508","1,074","2,114",0,7,92,546,442,27,0,0,80,0,39,"2,144","1,121","8,475",84,0,0,0,"13,938",37,"19,857",0,0,0,72,9,0,0,0,6,"9,233",997,130,656,"11,094",0,0,"7,099",376,"3,870","19,350",0,"13,365",251,0,329,133,204,"5,381",0,0,0,52,134,0,0,0,764,0,41,82,0,0,0,0,"5,416",92,0,"5,463",9,0,145,598,20,0,123,214,117,0,0,0,496,0,"10,697",363,"66,896",10,0,"2,067",0,"2,241",0,0,0,288,"9,662",28,688,"4,118",974,"1,243",10,0,72,543,17,"1,246",0,0,0,0,670,51,0,"10,446",0,310,"2,032",429,0,"11,898",0,"6,115",475,2,17,0,0,0,0,57,"3,988","6,158",0,0,0,"11,298",566,0,0,0,0,"4,350",0,0,7,0,92,0,"135,000","93,179",215,0,640,150,205,0,0,0,276,0,52,341,"579,912",
Austria,0,0,167,0,0,0,0,"1,671",0,13,"18,360",0,0,41,0,0,0,58,"3,379",0,0,38,13,165,201,0,"2,864",0,781,0,0,0,0,0,"24,056",66,22,0,0,663,"1,054",222,0,0,0,308,0,"5,011",17,0,417,"4,800","1,484",0,0,"1,334",798,569,11,0,0,225,0,3,0,603,"12,780",0,0,0,25,"183,625",0,"2,212",0,0,0,0,0,0,0,360,13,0,"9,911",134,0,0,0,0,843,0,"3,880","15,557",0,644,117,0,145,0,0,0,0,0,0,0,91,0,0,0,768,"4,011",59,"1,026",0,4,0,0,155,23,0,138,0,0,0,463,0,0,199,15,221,0,0,0,564,0,"6,594",0,"1,375",40,0,0,0,"1,605",0,0,0,111,0,146,230,518,"4,061",521,11,0,671,"2,955",0,0,3,0,0,0,"6,950",17,0,0,0,"3,662","9,055",0,0,"8,903",0,"7,184",0,0,0,0,0,0,0,0,"5,772","60,052",0,65,0,0,0,0,0,0,0,"21,227",0,0,0,0,0,0,"15,000","44,943",141,115,0,840,290,0,0,0,0,0,1,0,"510,455",
Azerbaijan,0,0,0,0,0,0,0,1,"87,454",0,630,"1,301",0,0,0,0,0,"13,571",241,0,0,1,0,1,0,0,0,0,"2,963",0,0,0,0,0,"3,405",0,0,0,0,5,530,19,0,0,0,3,0,0,26,0,42,"1,500",340,0,0,0,3,46,0,0,0,"1,163",0,0,0,132,"4,173",0,0,0,"5,937","20,372",0,497,0,0,0,0,4,0,0,0,0,0,256,14,0,0,"11,960",0,158,0,"13,764",755,0,0,11,"49,997",11,0,0,0,0,0,"5,195",0,"1,925",0,0,0,0,0,"1,365",1,0,0,0,0,0,0,0,2,0,0,0,21,0,"6,089",0,0,0,0,0,0,0,0,853,0,0,5,0,0,0,518,0,0,0,0,0,0,6,0,285,68,0,0,9,"767,881",0,0,0,0,0,0,0,1,0,0,0,41,27,0,0,0,0,621,0,0,0,0,0,0,0,0,"2,935",753,0,173,0,0,0,0,0,0,0,"52,836","7,584",0,0,0,"86,741",0,"2,562","22,320",0,"33,157",0,0,0,0,0,0,0,0,0,0,"1,215,260",
"Bahamas, The",0,0,0,0,0,0,2,4,0,3,310,22,0,0,0,0,73,0,15,0,0,44,0,0,0,0,18,0,5,0,0,0,0,0,"1,772",240,0,0,0,2,0,9,0,0,0,19,0,0,2,82,0,0,10,0,12,126,71,21,0,0,0,0,0,0,0,9,48,0,0,0,0,0,0,22,0,45,0,0,12,0,16,0,0,0,8,7,0,0,0,0,48,0,0,133,997,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,12,0,0,0,0,0,0,0,0,45,0,59,0,0,87,0,0,0,23,0,0,0,13,0,1,6,0,0,3,0,0,0,24,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,58,0,24,13,0,0,0,0,0,30,133,0,0,0,0,0,0,0,0,0,11,0,18,0,0,4,0,"6,267","33,163",6,0,0,8,0,0,0,0,0,0,115,0,"44,350",
Bahrain,0,0,215,0,0,0,0,12,0,0,"1,740",30,0,0,0,"30,877",0,0,49,0,0,24,0,0,0,0,31,0,22,0,0,0,0,0,"2,319",0,0,0,0,5,0,7,0,0,0,1,0,0,0,0,126,32,55,0,0,29,0,398,0,0,0,1,0,0,0,19,162,0,0,0,0,0,0,22,0,0,0,0,2,0,0,0,0,0,20,1,0,0,0,0,190,0,0,58,0,0,428,0,201,0,0,0,0,"1,413",0,0,0,137,0,0,989,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,44,0,135,0,0,0,0,0,0,32,997,0,0,3,0,0,6,114,9,1,0,779,0,12,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,270,0,56,403,0,0,0,0,0,0,0,88,238,0,0,0,0,0,0,0,0,0,33,0,0,0,0,6,"1,906","6,021","2,848",1,0,0,0,"1,465",0,"8,589",0,0,0,0,0,"63,689",
Bangladesh,0,0,277,0,0,0,0,52,0,1,"43,320","3,010",0,0,"100,444",0,0,0,"2,943",0,0,72,56,29,0,0,55,"2,269",865,0,0,0,0,0,"52,698",0,0,0,0,8,"6,282",2,0,0,0,16,0,0,3,0,766,252,"1,304",0,0,4,7,515,6,0,0,62,0,0,"2,245","2,143","5,069",0,0,0,0,"7,601",0,"16,871",0,0,0,0,0,0,0,0,0,450,73,3,"3,139,311",0,0,0,"3,475",0,0,"111,309",0,"13,243","11,715",0,136,0,153,"11,615",0,"381,669",0,0,5,"3,747",0,0,"1,277",0,0,33,0,0,26,0,"365,600","47,951",0,18,0,17,"8,364",73,0,0,0,0,0,0,0,"1,648",28,772,"1,419",0,"1,570",3,0,0,414,"1,052","276,518","186,114",0,43,0,0,3,162,107,"1,519",8,"163,386",131,471,0,0,0,0,"1,157,072",0,0,222,0,"83,279",0,19,12,189,0,"4,182",0,"13,457",674,8,0,0,0,0,0,0,"7,363","2,426",0,0,0,"7,751",138,0,0,0,0,489,0,0,0,209,185,"1,044,505","247,000","234,640",1,0,0,5,"8,254",0,0,0,0,0,0,0,"7,796,958",
Barbados,0,0,0,0,0,0,308,23,0,11,450,21,0,248,0,0,0,0,17,0,0,302,0,0,0,0,33,0,5,0,0,0,0,0,"17,974",236,0,0,0,5,0,11,0,0,0,14,0,0,20,194,0,2,28,0,168,38,18,0,40,0,0,1,0,0,0,12,80,0,0,0,0,0,0,10,0,268,0,1,10,0,272,0,1,0,2,1,0,0,0,0,37,0,0,48,804,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,86,0,0,2,0,0,0,22,0,0,0,33,0,1,3,0,11,7,4,0,0,9,0,0,1,0,0,0,0,0,0,0,75,1,1,0,0,47,0,43,0,97,785,0,635,0,0,0,113,79,0,0,0,0,0,0,0,"1,073",0,4,0,0,0,0,1,0,"20,069","54,374",1,0,0,10,0,434,0,0,0,0,347,12,"100,113",
Belarus,0,0,169,0,0,0,0,315,593,0,"2,080","1,933","15,582",0,0,0,0,0,508,0,0,16,0,5,6,0,10,0,"1,064",0,0,0,0,0,"12,131",0,0,0,0,8,787,13,0,0,0,25,0,91,35,0,399,"9,400",645,0,0,12,18,314,0,0,0,"8,187",0,0,0,351,"3,451",0,0,0,"9,306","29,000",0,"1,430",0,0,0,0,0,0,0,0,0,0,216,45,0,0,0,0,"1,239",0,"23,524","30,691",0,0,2,"70,858",11,0,0,0,0,0,"11,045",0,"47,198",0,0,0,778,0,"59,831",46,0,0,0,0,0,0,0,35,0,0,0,102,0,"34,291",0,0,0,0,0,0,0,0,368,0,0,0,0,0,0,"1,030",0,0,0,12,0,0,7,0,"81,363",977,0,0,1,"764,819",0,0,10,0,0,0,202,0,0,0,0,232,187,0,0,395,0,"4,575",0,0,0,0,0,0,0,0,"2,833","1,476",0,698,0,0,0,0,0,0,0,354,"10,902",0,0,0,"258,781",0,"6,052","62,514",1,"70,495",0,0,0,0,0,0,0,0,0,0,"1,646,080",
Belgium,0,0,150,0,200,0,0,"1,228",0,40,"7,960","2,708",0,31,0,0,0,35,0,0,0,22,0,392,8,0,"2,075",0,"1,597",0,625,11,0,0,"23,794",18,0,0,0,"1,048","1,578",464,0,0,0,406,0,365,14,92,308,"1,013","1,143",0,0,677,"1,248",529,52,0,0,238,0,8,0,631,"155,548",0,477,0,22,"23,000",0,"5,031",0,0,0,0,131,0,0,0,25,0,"2,145",133,0,0,0,0,"1,761",0,"7,240","45,447",0,808,72,0,339,0,0,0,0,0,0,0,108,0,0,0,690,42,159,"21,008",0,0,78,0,0,0,0,208,0,137,118,646,0,0,861,0,0,"1,437",0,0,169,0,"55,288",0,0,47,0,0,0,"1,733",0,0,0,279,0,121,715,549,"5,593","3,534",0,0,"1,588",471,495,0,4,0,0,0,215,38,0,0,0,879,966,0,0,"13,128",0,"41,916",0,2,0,0,0,0,0,0,"2,490","16,409",0,0,0,0,0,66,0,0,0,"26,531",0,0,0,63,153,0,"33,000","35,406",155,0,3,401,148,0,0,0,0,0,816,0,"561,750",
Belize,0,0,0,0,0,0,14,10,0,0,80,10,0,45,0,0,22,0,12,0,0,58,0,942,0,0,6,0,2,0,0,0,0,0,"2,443",453,0,0,0,3,0,7,0,0,0,199,0,0,4,0,0,6,5,0,0,79,7,7,341,0,0,1,0,0,0,1,12,0,0,0,0,0,0,4,0,0,0,953,1,0,0,0,368,0,3,0,0,0,0,0,10,0,0,22,11,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,"2,124",0,0,0,0,0,0,0,0,0,0,18,0,0,26,0,0,0,12,0,0,0,88,0,0,3,0,1,3,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,34,0,0,1,0,0,0,0,0,14,52,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,"1,189","48,918",2,0,0,20,0,0,0,0,0,0,3,1,"58,687",
Benin,0,0,0,0,0,0,0,2,0,0,110,121,0,0,0,0,0,0,"1,455",0,0,6,0,1,0,0,31,0,45,"4,311",0,0,0,"3,808","3,730",0,337,0,0,2,157,0,0,0,"15,421",3,"60,797",0,6,0,11,95,58,0,0,25,3,35,0,0,0,0,0,0,0,18,"20,724",0,"49,730",0,0,"2,148","19,502",18,0,0,0,0,"1,493",0,0,0,0,0,9,2,0,0,0,0,61,0,0,"2,619",0,0,2,0,"1,254",0,0,0,0,0,0,0,0,0,0,24,0,0,0,8,0,0,0,0,0,0,"4,240",0,0,"1,188",0,0,0,0,0,0,0,0,0,0,144,0,288,0,0,0,"20,924","362,544",0,29,0,0,0,0,0,0,0,0,4,33,0,0,0,94,0,0,0,166,0,"3,518",0,0,249,0,0,9,1,0,0,319,0,401,0,0,0,0,0,0,0,0,90,623,0,0,0,0,0,"73,275",0,0,0,5,0,0,0,0,19,0,555,694,0,0,0,0,0,0,0,0,0,0,0,0,"657,594",
Bermuda,0,0,0,0,0,0,14,0,0,1,580,15,0,40,0,0,28,0,32,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,"2,650",45,0,0,0,6,0,8,0,0,0,11,0,0,2,0,0,6,0,0,1,16,11,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,9,0,0,0,13,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,97,0,0,0,8,7,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,"3,772","9,026",1,0,0,0,0,0,0,0,0,0,9,0,"16,735",
