Country,Alpha3-code,M49-code,Region1,Region2,Continent
Italy,ITA,380,Southern Europe,,Europe
Jamaica,JAM,388,Caribbean,Latin America and the Caribbean,North America
Japan,JPN,392,Eastern Asia,,Asia
Jersey,JEY,832,Northern Europe,Channel Islands,Europe
Jordan,JOR,400,Western Asia,,Asia
Kazakhstan,KAZ,398,Central Asia,,Asia
Kenya,KEN,404,Eastern Africa,Sub-Saharan Africa,Africa
Kiribati,KIR,296,Micronesia,,Oceania
Kuwait,KWT,414,Western Asia,,Asia
Kyrgyzstan,KGZ,417,Central Asia,,Asia
Laos,LAO,418,South-eastern Asia,,Asia
Latvia,LVA,428,Northern Europe,,Europe
Lebanon,LBN,422,Western Asia,,Asia
Lesotho,LSO,426,Southern Africa,Sub-Saharan Africa,Africa
Liberia,LBR,430,Western Africa,Sub-Saharan Africa,Africa
Libya,LBY,434,Northern Africa,,Africa
Liechtenstein,LIE,438,Western Europe,,Europe
Lithuania,LTU,440,Northern Europe,,Europe
Luxembourg,LUX,442,Western Europe,,Europe
Madagascar,MDG,450,Eastern Africa,Sub-Saharan Africa,Africa
Malawi,MWI,454,Eastern Africa,Sub-Saharan Africa,Africa
Malaysia,MYS,458,South-eastern Asia,,Asia
Maldives,MDV,462,Southern Asia,,Asia
Mali,MLI,466,Western Africa,Sub-Saharan Africa,Africa
Malta,MLT,470,Southern Europe,,Europe
Marshall Islands,MHL,584,Micronesia,,Oceania
Martinique,MTQ,474,Caribbean,Latin America and the Caribbean,North America
Mauritania,MRT,478,Western Africa,Sub-Saharan Africa,Africa
Mauritius,MUS,480,Eastern Africa,Sub-Saharan Africa,Africa
Mayotte,MYT,175,Eastern Africa,Sub-Saharan Africa,Africa
Mexico,MEX,484,Central America,Latin America and the Caribbean,North America
Federated States of  Micronesia,FSM,583,Micronesia,,Oceania
Monaco,MCO,492,Western Europe,,Europe
Mongolia,MNG,496,Eastern Asia,,Asia
Montenegro,MNE,499,Southern Europe,,Europe
Montserrat,MSR,500,Caribbean,Latin America and the Caribbean,North America
Morocco,MAR,504,Northern Africa,,Africa
Mozambique,MOZ,508,Eastern Africa,Sub-Saharan Africa,Africa
Myanmar,MMR,104,South-eastern Asia,,Asia
Namibia,NAM,516,Southern Africa,Sub-Saharan Africa,Africa
Nauru,NRU,520,Micronesia,,Oceania
Nepal,NPL,524,Southern Asia,,Asia
Netherlands,NLD,528,Western Europe,,Europe
New Caledonia,NCL,540,Melanesia,,Oceania
New Zealand,NZL,554,Australia and New Zealand,,Oceania
Nicaragua,NIC,558,Central America,Latin America and the Caribbean,North America
Niger,NER,562,Western Africa,Sub-Saharan Africa,Africa
Nigeria,NGA,566,Western Africa,Sub-Saharan Africa,Africa
Niue,NIU,570,Polynesia,,Oceania
Norfolk Island,NFK,574,Australia and New Zealand,,Oceania
North Macedonia,MKD,807,Southern Europe,,Europe
Northern Mariana Islands,MNP,580,Micronesia,,Oceania
Norway,NOR,578,Northern Europe,,Europe
Oman,OMN,512,Western Asia,,Asia
Pakistan,PAK,586,Southern Asia,,Asia
Palau,PLW,585,Micronesia,,Oceania
Panama,PAN,591,Central America,Latin America and the Caribbean,North America
Papua New Guinea,PNG,598,Melanesia,,Oceania
Paraguay,PRY,600,South America,Latin America and the Caribbean,South America
Peru,PER,604,South America,Latin America and the Caribbean,South America
Philippines,PHL,608,South-eastern Asia,,Asia
Pitcairn,PCN,612,Polynesia,,Oceania
Poland,POL,616,Eastern Europe,,Europe
Portugal,PRT,620,Southern Europe,,Europe
Puerto Rico,PRI,630,Caribbean,Latin America and the Caribbean,North America
Qatar,QAT,634,Western Asia,,Asia
Republic of Korea,KOR,410,Eastern Asia,,Asia
Republic of Moldova,MDA,498,Eastern Europe,,Europe
Réunion,REU,638,Eastern Africa,Sub-Saharan Africa,Africa
Romania,ROU,642,Eastern Europe,,Europe
Russian Federation,RUS,643,Eastern Europe,,Europe
Rwanda,RWA,646,Eastern Africa,Sub-Saharan Africa,Africa
Saint Barthélemy,BLM,652,Caribbean,Latin America and the Caribbean,North America
Saint Helena,SHN,654,Western Africa,Sub-Saharan Africa,Africa
Saint Kitts and Nevis,KNA,659,Caribbean,Latin America and the Caribbean,North America
Saint Lucia,LCA,662,Caribbean,Latin America and the Caribbean,North America
Saint Martin (French Part),MAF,663,Caribbean,Latin America and the Caribbean,North America
Saint Pierre and Miquelon,SPM,666,Northern America,,North America
Saint Vincent and the Grenadines,VCT,670,Caribbean,Latin America and the Caribbean,North America
Samoa,WSM,882,Polynesia,,Oceania
San Marino,SMR,674,Southern Europe,,Europe
Sao Tome and Principe,STP,678,Middle Africa,Sub-Saharan Africa,Africa
Sark,,680,Northern Europe,Channel Islands,Europe
Saudi Arabia,SAU,682,Western Asia,,Asia
Senegal,SEN,686,Western Africa,Sub-Saharan Africa,Africa
Serbia,SRB,688,Southern Europe,,Europe
Seychelles,SYC,690,Eastern Africa,Sub-Saharan Africa,Africa
Sierra Leone,SLE,694,Western Africa,Sub-Saharan Africa,Africa
Singapore,SGP,702,South-eastern Asia,,Asia
Sint Maarten (Dutch part),SXM,534,Caribbean,Latin America and the Caribbean,North America
Slovakia,SVK,703,Eastern Europe,,Europe
Slovenia,SVN,705,Southern Europe,,Europe
Solomon Islands,SLB,90,Melanesia,,Oceania
Somalia,SOM,706,Eastern Africa,Sub-Saharan Africa,Africa
South Africa,ZAF,710,Southern Africa,Sub-Saharan Africa,Africa
South Georgia and the South Sandwich Islands,SGS,239,South America,Latin America and the Caribbean,South America
South Sudan,SSD,728,Eastern Africa,Sub-Saharan Africa,Africa
Spain,ESP,724,Southern Europe,,Europe
Sri Lanka,LKA,144,Southern Asia,,Asia
State of Palestine,PSE,275,Western Asia,,Asia
Sudan,SDN,729,Northern Africa,,Africa
Suriname,SUR,740,South America,Latin America and the Caribbean,South America
Svalbard and Jan Mayen Islands,SJM,744,Northern Europe,,Europe
Sweden,SWE,752,Northern Europe,,Europe
Switzerland,CHE,756,Western Europe,,Europe
Syrian Arab Republic,SYR,760,Western Asia,,Asia
Tajikistan,TJK,762,Central Asia,,Asia
Thailand,THA,764,South-eastern Asia,,Asia
Timor-Leste,TLS,626,South-eastern Asia,,Asia
Togo,TGO,768,Western Africa,Sub-Saharan Africa,Africa
Tokelau,TKL,772,Polynesia,,Oceania
Tonga,TON,776,Polynesia,,Oceania
Trinidad and Tobago,TTO,780,Caribbean,Latin America and the Caribbean,North America
Tunisia,TUN,788,Northern Africa,,Africa
Turkey,TUR,792,Western Asia,,Asia
Turkmenistan,TKM,795,Central Asia,,Asia
Turks and Caicos Islands,TCA,796,Caribbean,Latin America and the Caribbean,North America
Tuvalu,TUV,798,Polynesia,,Oceania
Uganda,UGA,800,Eastern Africa,Sub-Saharan Africa,Africa
Ukraine,UKR,804,Eastern Europe,,Europe
United Arab Emirates,ARE,784,Western Asia,,Asia
United Kingdom,GBR,826,Northern Europe,,Europe
Tanzania,TZA,834,Eastern Africa,Sub-Saharan Africa,Africa
United States Minor Outlying Islands,UMI,581,Micronesia,,Oceania
United States,USA,840,Northern America,,North America
U.S. Virgin Islands,VIR,850,Caribbean,Latin America and the Caribbean,North America
Uruguay,URY,858,South America,Latin America and the Caribbean,South America
Uzbekistan,UZB,860,Central Asia,,Asia
Vanuatu,VUT,548,Melanesia,,Oceania
Venezuela,VEN,862,South America,Latin America and the Caribbean,South America
Vietnam,VNM,704,South-eastern Asia,,Asia
Wallis and Futuna Islands,WLF,876,Polynesia,,Oceania
Western Sahara,ESH,732,Northern Africa,,Africa
Yemen,YEM,887,Western Asia,,Asia
Zambia,ZMB,894,Eastern Africa,Sub-Saharan Africa,Africa
Zimbabwe,ZWE,716,Eastern Africa,Sub-Saharan Africa,Africa
